device_id,imei,customer_id,device_model,device_os,activation_date,device_status
DEV0000031,959001094396907,CUST0000031,Google Pixel 8,Android 14,2023-12-30,INACTIVE
DEV0000032,473647102767735,CUST0000032,OnePlus 12,Android 14,2024-02-18,INACTIVE
DEV0000033,556258815371473,CUST0000033,OnePlus 12,Android 14,2025-03-13,ACTIVE
DEV0000034,696325953278774,CUST0000034,Samsung Galaxy S24,Android 14,2026-03-18,ACTIVE
DEV0000035,873395004797480,CUST0000035,Samsung Galaxy A54,Android 13,2025-05-18,ACTIVE
DEV0000036,565060983584168,CUST0000036,Samsung Galaxy S24,Android 14,2025-01-22,ACTIVE
DEV0000037,991216558523986,CUST0000037,Samsung Galaxy S24,Android 14,2025-08-09,INACTIVE
DEV0000038,257872982595269,CUST0000038,Apple iPhone 15,iOS 17,2024-03-25,INACTIVE
DEV0000039,588879470551694,CUST0000039,Google Pixel 8,Android 14,2023-11-17,INACTIVE
DEV0000041,749930972896230,CUST0000041,Google Pixel 8,Android 14,2025-09-15,INACTIVE
DEV0000043,756263689702838,CUST0000043,Apple iPhone 15,iOS 17,2026-02-09,ACTIVE
DEV0000045,527858549733484,CUST0000045,Samsung Galaxy A54,Android 13,2025-01-19,ACTIVE
DEV0000048,375758441986652,CUST0000048,OnePlus 12,Android 14,2026-04-28,ACTIVE
DEV0000049,157473384842199,CUST0000049,OnePlus 12,Android 14,2026-08-21,ACTIVE
DEV0000050,833016571208267,CUST0000050,OnePlus 12,Android 14,2024-02-11,ACTIVE
DEV0000051,540193802620672,CUST0000051,Samsung Galaxy S24,Android 14,2024-08-24,INACTIVE
DEV0000055,915478872874315,CUST0000055,Google Pixel 8,Android 14,2024-03-14,ACTIVE
DEV0000056,420549329668516,CUST0000056,OnePlus 12,Android 14,2025-05-19,INACTIVE
DEV0000057,753046374549904,CUST0000057,Apple iPhone 14,iOS 17,2025-01-07,INACTIVE
DEV0000058,017426841459332,CUST0000058,Apple iPhone 14,iOS 17,2025-12-31,ACTIVE
DEV0000059,956878339187851,CUST0000059,OnePlus 12,Android 14,2025-11-15,INACTIVE
DEV0000060,839822587139718,CUST0000060,Google Pixel 8,Android 14,2026-07-02,ACTIVE
DEV0000061,286790874064039,CUST0000061,Samsung Galaxy A54,Android 13,2026-04-28,ACTIVE
DEV0000062,180170462265676,CUST0000062,Samsung Galaxy S24,Android 14,2024-11-10,ACTIVE
DEV0000063,825128682300478,CUST0000063,OnePlus 12,Android 14,2024-07-15,ACTIVE
DEV0000064,375243106903311,CUST0000064,Apple iPhone 14,iOS 17,2025-07-11,INACTIVE
DEV0000065,030673830284395,CUST0000065,Google Pixel 8,Android 14,2024-10-28,INACTIVE
DEV0000066,534283644089268,CUST0000066,OnePlus 12,Android 14,2023-09-07,ACTIVE
DEV0000067,685662462873342,CUST0000067,Samsung Galaxy S24,Android 14,2024-08-16,ACTIVE
DEV0000069,882634351751830,CUST0000069,Samsung Galaxy A54,Android 13,2024-02-09,ACTIVE
DEV0000070,901398373540331,CUST0000070,Google Pixel 8,Android 14,2026-03-22,INACTIVE
DEV0000072,936385467854458,CUST0000072,Apple iPhone 14,iOS 17,2025-05-29,ACTIVE
DEV0000073,753556093204899,CUST0000073,OnePlus 12,Android 14,2025-12-16,INACTIVE
DEV0000074,353693785477725,CUST0000074,Apple iPhone 14,iOS 17,2025-04-02,ACTIVE
DEV0000075,728080100623120,CUST0000075,Google Pixel 8,Android 14,2025-08-13,ACTIVE
DEV0000076,099770088600848,CUST0000076,Samsung Galaxy S24,Android 14,2024-04-04,ACTIVE
DEV0000077,621182339845461,CUST0000077,OnePlus 12,Android 14,2026-02-13,ACTIVE
DEV0000079,341016668700217,CUST0000079,Apple iPhone 14,iOS 17,2026-06-07,ACTIVE
DEV0000080,918033974014890,CUST0000080,Samsung Galaxy S24,Android 14,2026-05-03,ACTIVE
DEV0000082,926142939685621,CUST0000082,Apple iPhone 14,iOS 17,2025-10-19,INACTIVE
DEV0000083,016315999650477,CUST0000083,Samsung Galaxy S24,Android 14,2025-05-21,ACTIVE
DEV0000084,629619431142626,CUST0000084,Samsung Galaxy A54,Android 13,2024-03-22,ACTIVE
DEV0000085,047541212678886,CUST0000085,Apple iPhone 15,iOS 17,2024-02-07,ACTIVE
DEV0000086,819956046618398,CUST0000086,Samsung Galaxy S24,Android 14,2024-07-31,ACTIVE
DEV0000087,244472126464715,CUST0000087,Apple iPhone 14,iOS 17,2023-12-17,ACTIVE
DEV0000089,993712406596575,CUST0000089,Samsung Galaxy A54,Android 13,2025-04-04,ACTIVE
DEV0000090,924593752654793,CUST0000090,OnePlus 12,Android 14,2026-06-28,ACTIVE
DEV0000091,519398280737416,CUST0000091,Samsung Galaxy A54,Android 13,2023-10-11,INACTIVE
DEV0000092,434266179796886,CUST0000092,OnePlus 12,Android 14,2024-01-15,INACTIVE
DEV0000093,891135290965610,CUST0000093,Samsung Galaxy S24,Android 14,2024-09-13,ACTIVE
DEV0000094,889937567982507,CUST0000094,Google Pixel 8,Android 14,2023-11-12,ACTIVE
DEV0000095,125457387571775,CUST0000095,Apple iPhone 15,iOS 17,2026-04-08,ACTIVE
DEV0000096,105123828258673,CUST0000096,OnePlus 12,Android 14,2026-06-10,ACTIVE
DEV0000097,660937966033419,CUST0000097,Apple iPhone 14,iOS 17,2025-08-18,ACTIVE
DEV0000098,255371478596969,CUST0000098,Google Pixel 8,Android 14,2024-04-05,ACTIVE
DEV0000099,924991251341252,CUST0000099,Samsung Galaxy A54,Android 13,2024-02-23,INACTIVE
DEV0000100,296627828274225,CUST0000100,Google Pixel 8,Android 14,2026-08-18,ACTIVE
DEV0000101,072368876767721,CUST0000101,Samsung Galaxy S24,Android 14,2024-05-10,INACTIVE
DEV0000102,404384279788191,CUST0000102,Apple iPhone 14,iOS 17,2026-06-01,ACTIVE
DEV0000103,807836134074517,CUST0000103,Samsung Galaxy S24,Android 14,2025-12-21,ACTIVE
DEV0000104,395962923309584,CUST0000104,Apple iPhone 14,iOS 17,2023-09-27,INACTIVE
DEV0000105,449481260422325,CUST0000105,Samsung Galaxy S24,Android 14,2026-04-16,ACTIVE
DEV0000106,672946671168457,CUST0000106,OnePlus 12,Android 14,2026-06-28,ACTIVE
DEV0000107,175186363745458,CUST0000107,Apple iPhone 15,iOS 17,2024-01-10,INACTIVE
DEV0000108,500170127706324,CUST0000108,Samsung Galaxy A54,Android 13,2026-07-02,ACTIVE
DEV0000111,415206436110371,CUST0000111,Samsung Galaxy S24,Android 14,2023-09-25,ACTIVE
DEV0000112,700516271361115,CUST0000112,Google Pixel 8,Android 14,2026-04-04,ACTIVE
DEV0000114,218909275326973,CUST0000114,Apple iPhone 14,iOS 17,2026-03-21,ACTIVE
DEV0000116,965652341389994,CUST0000116,Apple iPhone 15,iOS 17,2024-04-13,INACTIVE
DEV0000117,438983640376137,CUST0000117,OnePlus 12,Android 14,2023-10-21,INACTIVE
DEV0000118,055269658271091,CUST0000118,Google Pixel 8,Android 14,2024-12-21,ACTIVE
DEV0000119,068486661889241,CUST0000119,Apple iPhone 15,iOS 17,2024-04-02,ACTIVE
DEV0000120,285691463031617,CUST0000120,Apple iPhone 14,iOS 17,2025-12-20,INACTIVE
DEV0000121,210202758842524,CUST0000121,Samsung Galaxy S24,Android 14,2025-06-05,INACTIVE
DEV0000123,564814917785079,CUST0000123,Apple iPhone 15,iOS 17,2024-01-12,ACTIVE
DEV0000124,191380003075622,CUST0000124,Samsung Galaxy S24,Android 14,2026-07-25,ACTIVE
DEV0000125,635365419518023,CUST0000125,OnePlus 12,Android 14,2025-03-05,INACTIVE
DEV0000128,445187053494937,CUST0000128,Samsung Galaxy A54,Android 13,2025-05-23,ACTIVE
DEV0000129,383206038505064,CUST0000129,Samsung Galaxy A54,Android 13,2025-03-16,ACTIVE
DEV0000130,670241038657191,CUST0000130,Apple iPhone 14,iOS 17,2024-02-23,INACTIVE
DEV0000131,199062344565574,CUST0000131,Samsung Galaxy A54,Android 13,2024-04-14,ACTIVE
DEV0000132,291212775618537,CUST0000132,Apple iPhone 14,iOS 17,2026-06-24,ACTIVE
DEV0000133,124903521356804,CUST0000133,Apple iPhone 15,iOS 17,2025-11-17,ACTIVE
DEV0000134,067883171210032,CUST0000134,Apple iPhone 14,iOS 17,2024-09-24,ACTIVE
DEV0000135,199410137215107,CUST0000135,Samsung Galaxy S24,Android 14,2026-08-22,ACTIVE
DEV0000136,667066253244720,CUST0000136,Google Pixel 8,Android 14,2024-11-25,INACTIVE
DEV0000137,476870146263838,CUST0000137,Apple iPhone 14,iOS 17,2024-04-15,ACTIVE
DEV0000139,787598564205930,CUST0000139,Samsung Galaxy S24,Android 14,2023-12-06,ACTIVE
DEV0000140,859321334803965,CUST0000140,Samsung Galaxy A54,Android 13,2025-03-06,ACTIVE
DEV0000141,559059929378427,CUST0000141,Google Pixel 8,Android 14,2025-02-02,ACTIVE
DEV0000142,930870593252500,CUST0000142,Apple iPhone 14,iOS 17,2025-03-08,ACTIVE
DEV0000143,185156915452267,CUST0000143,Apple iPhone 14,iOS 17,2026-06-28,INACTIVE
DEV0000144,895392644220969,CUST0000144,OnePlus 12,Android 14,2023-09-15,ACTIVE
DEV0000145,939172513552157,CUST0000145,Samsung Galaxy S24,Android 14,2024-10-18,ACTIVE
DEV0000146,154100676267658,CUST0000146,Apple iPhone 14,iOS 17,2024-11-30,ACTIVE
DEV0000147,932710405411526,CUST0000147,Samsung Galaxy A54,Android 13,2026-07-16,ACTIVE
DEV0000148,159970629620153,CUST0000148,Google Pixel 8,Android 14,2023-12-16,ACTIVE
DEV0000149,844431069872050,CUST0000149,Google Pixel 8,Android 14,2024-09-26,ACTIVE
DEV0000150,973103241714677,CUST0000150,OnePlus 12,Android 14,2024-08-02,INACTIVE
DEV0000151,862565270477434,CUST0000151,OnePlus 12,Android 14,2023-11-08,INACTIVE
DEV0000152,115869380686879,CUST0000152,OnePlus 12,Android 14,2026-06-29,ACTIVE
DEV0000153,608989921722332,CUST0000153,Apple iPhone 15,iOS 17,2025-08-11,ACTIVE
DEV0000154,632945116868548,CUST0000154,OnePlus 12,Android 14,2024-05-06,ACTIVE
DEV0000156,998616229991191,CUST0000156,OnePlus 12,Android 14,2025-10-04,ACTIVE
DEV0000160,799702462996065,CUST0000160,OnePlus 12,Android 14,2025-08-10,INACTIVE
DEV0000161,745054447132475,CUST0000161,OnePlus 12,Android 14,2026-02-01,ACTIVE
DEV0000162,137367850821486,CUST0000162,Google Pixel 8,Android 14,2026-04-14,ACTIVE
DEV0000163,902330307053457,CUST0000163,Google Pixel 8,Android 14,2023-09-15,INACTIVE
DEV0000164,035797279855241,CUST0000164,Apple iPhone 15,iOS 17,2026-07-19,ACTIVE
DEV0000165,293333468007229,CUST0000165,Apple iPhone 15,iOS 17,2025-11-04,ACTIVE
DEV0000166,446657437489691,CUST0000166,Google Pixel 8,Android 14,2026-05-07,ACTIVE
DEV0000167,589944171545444,CUST0000167,OnePlus 12,Android 14,2023-10-17,ACTIVE
DEV0000168,096520744666099,CUST0000168,Apple iPhone 14,iOS 17,2026-03-13,ACTIVE
DEV0000169,387584282417248,CUST0000169,OnePlus 12,Android 14,2024-03-10,ACTIVE
DEV0000172,534655494717099,CUST0000172,Apple iPhone 14,iOS 17,2023-09-08,INACTIVE
DEV0000173,816846022356972,CUST0000173,Apple iPhone 14,iOS 17,2025-03-18,ACTIVE
DEV0000175,752500743292712,CUST0000175,Apple iPhone 15,iOS 17,2024-01-29,INACTIVE
DEV0000176,667600835058300,CUST0000176,Samsung Galaxy A54,Android 13,2025-01-24,INACTIVE
DEV0000177,542168942104478,CUST0000177,Apple iPhone 14,iOS 17,2023-10-10,INACTIVE
DEV0000178,257532603323098,CUST0000178,Samsung Galaxy A54,Android 13,2025-06-11,ACTIVE
DEV0000179,064890901001676,CUST0000179,OnePlus 12,Android 14,2024-04-14,ACTIVE
DEV0000180,230461849926189,CUST0000180,Samsung Galaxy A54,Android 13,2025-11-16,ACTIVE
DEV0000181,739348356420873,CUST0000181,Apple iPhone 15,iOS 17,2024-07-14,INACTIVE
DEV0000183,011972181143744,CUST0000183,Apple iPhone 15,iOS 17,2025-07-05,ACTIVE
DEV0000184,045561100225579,CUST0000184,Apple iPhone 14,iOS 17,2026-02-15,ACTIVE
DEV0000186,216674676212021,CUST0000186,Samsung Galaxy S24,Android 14,2024-11-30,ACTIVE
DEV0000188,729659027716701,CUST0000188,Google Pixel 8,Android 14,2024-03-07,ACTIVE
DEV0000189,899358891637562,CUST0000189,Apple iPhone 15,iOS 17,2025-03-18,INACTIVE
DEV0000191,287721753540838,CUST0000191,Apple iPhone 15,iOS 17,2024-02-10,INACTIVE
DEV0000192,177971775170166,CUST0000192,Apple iPhone 14,iOS 17,2026-01-31,ACTIVE
DEV0000193,199488375503758,CUST0000193,Apple iPhone 15,iOS 17,2025-08-30,INACTIVE
DEV0000194,571130554885102,CUST0000194,OnePlus 12,Android 14,2024-10-01,ACTIVE
DEV0000195,614933163735160,CUST0000195,OnePlus 12,Android 14,2026-06-06,INACTIVE
DEV0000196,177982708086978,CUST0000196,Google Pixel 8,Android 14,2026-01-06,ACTIVE
DEV0000197,216995866934654,CUST0000197,Apple iPhone 14,iOS 17,2023-09-30,ACTIVE
DEV0000198,698485833394522,CUST0000198,Apple iPhone 14,iOS 17,2024-04-08,INACTIVE
DEV0000199,515879968460810,CUST0000199,OnePlus 12,Android 14,2024-11-13,ACTIVE
DEV0000200,034244204380571,CUST0000200,OnePlus 12,Android 14,2024-10-10,INACTIVE
DEV0000202,863840666580043,CUST0000202,Apple iPhone 14,iOS 17,2026-03-07,INACTIVE
DEV0000205,598933472122816,CUST0000205,Apple iPhone 14,iOS 17,2025-07-09,ACTIVE
DEV0000206,422940572025909,CUST0000206,Google Pixel 8,Android 14,2023-09-29,INACTIVE
DEV0000207,851583281826886,CUST0000207,Google Pixel 8,Android 14,2023-09-26,ACTIVE
DEV0000208,555439878015739,CUST0000208,Apple iPhone 14,iOS 17,2023-09-29,INACTIVE
DEV0000209,561648408588770,CUST0000209,Apple iPhone 15,iOS 17,2025-01-25,ACTIVE
DEV0000211,112880133613861,CUST0000211,Google Pixel 8,Android 14,2025-11-10,INACTIVE
DEV0000212,750110248193466,CUST0000212,Apple iPhone 15,iOS 17,2024-02-03,ACTIVE
DEV0000213,506180919015814,CUST0000213,Samsung Galaxy A54,Android 13,2024-11-17,INACTIVE
DEV0000214,476607283268424,CUST0000214,Apple iPhone 15,iOS 17,2025-04-10,INACTIVE
DEV0000218,882100996881435,CUST0000218,Apple iPhone 15,iOS 17,2025-12-10,ACTIVE
DEV0000219,822239431290878,CUST0000219,OnePlus 12,Android 14,2025-10-28,ACTIVE
DEV0000220,413975523149135,CUST0000220,Apple iPhone 15,iOS 17,2024-03-01,ACTIVE
DEV0000221,492995562053364,CUST0000221,Google Pixel 8,Android 14,2023-12-16,ACTIVE
DEV0000222,577754781291428,CUST0000222,OnePlus 12,Android 14,2024-09-13,ACTIVE
DEV0000223,110809969308488,CUST0000223,OnePlus 12,Android 14,2024-04-28,ACTIVE
DEV0000224,563942788165803,CUST0000224,Apple iPhone 14,iOS 17,2024-11-30,INACTIVE
DEV0000225,272299275037314,CUST0000225,Google Pixel 8,Android 14,2023-11-09,ACTIVE
DEV0000226,385677005184498,CUST0000226,OnePlus 12,Android 14,2026-07-24,INACTIVE
DEV0000227,659184638655779,CUST0000227,OnePlus 12,Android 14,2025-01-18,ACTIVE
DEV0000228,723184322259136,CUST0000228,Apple iPhone 14,iOS 17,2024-11-25,ACTIVE
DEV0000229,773926030299228,CUST0000229,Samsung Galaxy A54,Android 13,2026-05-08,ACTIVE
DEV0000231,428699041379772,CUST0000231,Apple iPhone 14,iOS 17,2024-12-23,ACTIVE
DEV0000232,292984257991366,CUST0000232,Google Pixel 8,Android 14,2026-03-24,ACTIVE
DEV0000233,886291279908811,CUST0000233,Apple iPhone 14,iOS 17,2026-01-31,ACTIVE
DEV0000234,806865086376599,CUST0000234,Google Pixel 8,Android 14,2023-08-29,ACTIVE
DEV0000235,731498643009818,CUST0000235,Samsung Galaxy S24,Android 14,2025-01-31,ACTIVE
DEV0000236,565126944869594,CUST0000236,Apple iPhone 14,iOS 17,2026-05-10,INACTIVE
DEV0000237,688725887449562,CUST0000237,Apple iPhone 14,iOS 17,2024-06-05,INACTIVE
DEV0000238,721386589026012,CUST0000238,Apple iPhone 14,iOS 17,2024-08-16,ACTIVE
DEV0000240,435190669849027,CUST0000240,Apple iPhone 15,iOS 17,2025-04-11,ACTIVE
DEV0000241,843098839205302,CUST0000241,OnePlus 12,Android 14,2026-07-11,ACTIVE
DEV0000243,669380118489554,CUST0000243,Samsung Galaxy S24,Android 14,2025-08-29,ACTIVE
DEV0000244,769042681818451,CUST0000244,Apple iPhone 14,iOS 17,2023-12-12,INACTIVE
DEV0000247,476973577907141,CUST0000247,Google Pixel 8,Android 14,2025-02-18,ACTIVE
DEV0000248,356588043416518,CUST0000248,Apple iPhone 14,iOS 17,2026-02-24,ACTIVE
DEV0000249,394237333433339,CUST0000249,Samsung Galaxy S24,Android 14,2025-05-15,ACTIVE
DEV0000250,117908075957947,CUST0000250,Apple iPhone 15,iOS 17,2024-01-13,ACTIVE
DEV0000253,920867808562718,CUST0000253,Apple iPhone 14,iOS 17,2025-03-14,ACTIVE
DEV0000254,036915594284347,CUST0000254,Apple iPhone 15,iOS 17,2026-01-26,INACTIVE
DEV0000255,763655647292931,CUST0000255,Apple iPhone 14,iOS 17,2024-02-01,INACTIVE
DEV0000256,866322702672885,CUST0000256,Apple iPhone 14,iOS 17,2025-08-19,ACTIVE
DEV0000257,906120347175455,CUST0000257,Google Pixel 8,Android 14,2025-11-19,INACTIVE
DEV0000258,506159399824558,CUST0000258,Samsung Galaxy S24,Android 14,2025-10-22,ACTIVE
DEV0000259,169472256996112,CUST0000259,Samsung Galaxy A54,Android 13,2024-07-03,ACTIVE
DEV0000260,449647598762202,CUST0000260,Samsung Galaxy S24,Android 14,2025-07-02,INACTIVE
DEV0000261,132611178006811,CUST0000261,Samsung Galaxy S24,Android 14,2024-05-28,ACTIVE
DEV0000262,643347228200557,CUST0000262,Apple iPhone 15,iOS 17,2024-05-29,ACTIVE
DEV0000264,872829979688457,CUST0000264,Samsung Galaxy S24,Android 14,2025-11-05,INACTIVE
DEV0000265,745642400825478,CUST0000265,Apple iPhone 15,iOS 17,2024-07-23,ACTIVE
DEV0000266,740649308536866,CUST0000266,Samsung Galaxy A54,Android 13,2025-10-14,ACTIVE
DEV0000267,663416389448463,CUST0000267,OnePlus 12,Android 14,2025-01-16,ACTIVE
DEV0000268,179749735020802,CUST0000268,Samsung Galaxy S24,Android 14,2025-06-05,ACTIVE
DEV0000269,703120735647570,CUST0000269,Apple iPhone 14,iOS 17,2025-03-17,ACTIVE
DEV0000270,046187234601367,CUST0000270,Apple iPhone 14,iOS 17,2026-08-14,ACTIVE
DEV0000271,371837645208814,CUST0000271,Apple iPhone 15,iOS 17,2024-06-16,ACTIVE
DEV0000272,503136502491630,CUST0000272,Apple iPhone 14,iOS 17,2026-05-09,ACTIVE
DEV0000273,792513271950052,CUST0000273,OnePlus 12,Android 14,2024-08-22,INACTIVE
DEV0000274,273585730652407,CUST0000274,Apple iPhone 15,iOS 17,2024-10-12,INACTIVE
DEV0000275,873928557498218,CUST0000275,Samsung Galaxy S24,Android 14,2024-02-04,ACTIVE
DEV0000276,857086209593518,CUST0000276,Samsung Galaxy S24,Android 14,2025-11-12,ACTIVE
DEV0000277,782945651181022,CUST0000277,OnePlus 12,Android 14,2026-03-17,ACTIVE
DEV0000278,310967899405391,CUST0000278,Samsung Galaxy A54,Android 13,2025-11-24,ACTIVE
DEV0000280,170586509480141,CUST0000280,Samsung Galaxy A54,Android 13,2026-01-20,ACTIVE
DEV0000282,386338392886195,CUST0000282,OnePlus 12,Android 14,2025-07-20,INACTIVE
DEV0000283,612286852897558,CUST0000283,OnePlus 12,Android 14,2026-01-14,ACTIVE
DEV0000284,659398368457760,CUST0000284,Samsung Galaxy A54,Android 13,2026-08-05,INACTIVE
DEV0000285,908240433504888,CUST0000285,Samsung Galaxy S24,Android 14,2023-09-13,INACTIVE
DEV0000287,752245933441969,CUST0000287,Apple iPhone 15,iOS 17,2025-07-23,ACTIVE
DEV0000288,572791940961055,CUST0000288,OnePlus 12,Android 14,2026-02-28,ACTIVE
DEV0000289,390604805892583,CUST0000289,Apple iPhone 15,iOS 17,2024-05-15,ACTIVE
DEV0000290,679981364622517,CUST0000290,OnePlus 12,Android 14,2024-11-05,INACTIVE
DEV0000291,641686227837693,CUST0000291,Google Pixel 8,Android 14,2023-09-10,INACTIVE
DEV0000292,833146591166553,CUST0000292,OnePlus 12,Android 14,2025-02-05,ACTIVE
DEV0000293,042597927033521,CUST0000293,OnePlus 12,Android 14,2026-03-25,ACTIVE
DEV0000294,924051477053833,CUST0000294,Apple iPhone 14,iOS 17,2024-03-21,INACTIVE
DEV0000295,879206980420439,CUST0000295,Samsung Galaxy S24,Android 14,2026-04-07,ACTIVE
DEV0000296,016451046368157,CUST0000296,OnePlus 12,Android 14,2026-07-27,INACTIVE
DEV0000297,387800384576205,CUST0000297,Apple iPhone 14,iOS 17,2024-11-15,INACTIVE
DEV0000298,438404608432562,CUST0000298,OnePlus 12,Android 14,2026-08-20,ACTIVE
DEV0000299,936392649578232,CUST0000299,Google Pixel 8,Android 14,2025-01-06,INACTIVE
DEV0000300,248262925188125,CUST0000300,Apple iPhone 14,iOS 17,2024-06-11,ACTIVE
