payment_id,invoice_id,customer_id,payment_date,amount,payment_method,card_last4,payment_status
PAY0000041,INV0000041,CUST0000041,2026-08-05,275.31,BANK_TRANSFER,4262,SUCCESS
PAY0000044,INV0000044,CUST0000044,2026-08-16,274.8,CARD,8971,SUCCESS
PAY0000045,INV0000045,CUST0000045,2026-08-13,109.99,BANK_TRANSFER,9910,SUCCESS
PAY0000046,INV0000046,CUST0000046,2026-08-05,97.25,CARD,0064,SUCCESS
PAY0000047,INV0000047,CUST0000047,2026-08-02,172.92,CASH,9592,SUCCESS
PAY0000048,INV0000048,CUST0000048,2026-08-10,86.66,BANK_TRANSFER,7750,SUCCESS
PAY0000049,INV0000049,CUST0000049,2026-08-06,65.44,CARD,3674,SUCCESS
PAY0000052,INV0000052,CUST0000052,2026-08-14,363.03,CASH,3384,SUCCESS
PAY0000056,INV0000056,CUST0000056,2026-08-01,112.53,CASH,3549,SUCCESS
PAY0000059,INV0000059,CUST0000059,2026-08-12,12.63,WALLET,2520,SUCCESS
PAY0000061,INV0000061,CUST0000061,2026-08-10,289.89,CARD,5176,SUCCESS
PAY0000062,INV0000062,CUST0000062,2026-08-12,12.5,BANK_TRANSFER,4717,SUCCESS
PAY0000064,INV0000064,CUST0000064,2026-08-06,91.93,BANK_TRANSFER,0225,SUCCESS
PAY0000067,INV0000067,CUST0000067,2026-08-05,340.9,WALLET,3230,SUCCESS
PAY0000068,INV0000068,CUST0000068,2026-08-03,144.17,BANK_TRANSFER,4452,SUCCESS
PAY0000069,INV0000069,CUST0000069,2026-08-12,69.3,WALLET,7870,SUCCESS
PAY0000070,INV0000070,CUST0000070,2026-08-02,185.13,CARD,6849,SUCCESS
PAY0000071,INV0000071,CUST0000071,2026-08-13,141.23,CASH,6938,SUCCESS
PAY0000072,INV0000072,CUST0000072,2026-08-07,323.4,CARD,5459,SUCCESS
PAY0000075,INV0000075,CUST0000075,2026-08-05,14.81,CASH,5648,SUCCESS
PAY0000076,INV0000076,CUST0000076,2026-08-14,72.4,CARD,9988,SUCCESS
PAY0000078,INV0000078,CUST0000078,2026-08-16,11.66,WALLET,6995,SUCCESS
PAY0000079,INV0000079,CUST0000079,2026-08-13,25.3,CARD,1230,SUCCESS
PAY0000082,INV0000082,CUST0000082,2026-08-08,150.21,WALLET,8637,SUCCESS
PAY0000084,INV0000084,CUST0000084,2026-08-14,55.0,WALLET,8996,SUCCESS
PAY0000085,INV0000085,CUST0000085,2026-08-15,68.08,WALLET,6210,SUCCESS
PAY0000086,INV0000086,CUST0000086,2026-08-03,285.71,CARD,9478,SUCCESS
PAY0000087,INV0000087,CUST0000087,2026-08-15,29.74,WALLET,7105,SUCCESS
PAY0000089,INV0000089,CUST0000089,2026-08-03,109.97,CASH,9586,SUCCESS
PAY0000090,INV0000090,CUST0000090,2026-08-07,117.53,BANK_TRANSFER,4948,SUCCESS
PAY0000091,INV0000091,CUST0000091,2026-08-06,301.69,CASH,9817,SUCCESS
PAY0000093,INV0000093,CUST0000093,2026-08-03,170.65,CASH,1415,SUCCESS
PAY0000094,INV0000094,CUST0000094,2026-08-02,69.41,CARD,6415,SUCCESS
PAY0000097,INV0000097,CUST0000097,2026-08-08,21.88,WALLET,3969,SUCCESS
PAY0000099,INV0000099,CUST0000099,2026-08-08,67.47,WALLET,4421,SUCCESS
PAY0000103,INV0000103,CUST0000103,2026-08-03,102.77,CASH,0915,SUCCESS
PAY0000104,INV0000104,CUST0000104,2026-08-09,75.34,WALLET,2804,SUCCESS
PAY0000105,INV0000105,CUST0000105,2026-08-07,59.65,WALLET,5156,SUCCESS
PAY0000106,INV0000106,CUST0000106,2026-08-07,277.12,CASH,3371,SUCCESS
PAY0000107,INV0000107,CUST0000107,2026-08-11,354.68,BANK_TRANSFER,7258,SUCCESS
PAY0000108,INV0000108,CUST0000108,2026-08-15,334.32,WALLET,3001,SUCCESS
PAY0000111,INV0000111,CUST0000111,2026-08-02,169.28,WALLET,3319,SUCCESS
PAY0000114,INV0000114,CUST0000114,2026-08-02,284.84,CARD,2268,SUCCESS
PAY0000115,INV0000115,CUST0000115,2026-08-13,376.53,WALLET,9137,SUCCESS
PAY0000117,INV0000117,CUST0000117,2026-08-06,176.82,BANK_TRANSFER,4630,SUCCESS
PAY0000118,INV0000118,CUST0000118,2026-08-04,26.49,CASH,3487,SUCCESS
PAY0000120,INV0000120,CUST0000120,2026-08-02,152.18,BANK_TRANSFER,7586,SUCCESS
PAY0000121,INV0000121,CUST0000121,2026-08-04,22.85,CARD,0646,SUCCESS
PAY0000123,INV0000123,CUST0000123,2026-08-15,11.06,CASH,3074,SUCCESS
PAY0000125,INV0000125,CUST0000125,2026-08-16,187.63,CASH,1413,SUCCESS
PAY0000126,INV0000126,CUST0000126,2026-08-10,10.83,BANK_TRANSFER,6360,SUCCESS
PAY0000127,INV0000127,CUST0000127,2026-08-02,62.27,BANK_TRANSFER,9676,SUCCESS
PAY0000128,INV0000128,CUST0000128,2026-08-08,156.64,CARD,3320,SUCCESS
PAY0000129,INV0000129,CUST0000129,2026-08-16,169.05,WALLET,9967,SUCCESS
PAY0000131,INV0000131,CUST0000131,2026-08-10,176.42,CASH,5619,SUCCESS
PAY0000132,INV0000132,CUST0000132,2026-08-04,158.16,CARD,6822,SUCCESS
PAY0000138,INV0000138,CUST0000138,2026-08-14,54.41,CASH,5925,SUCCESS
PAY0000139,INV0000139,CUST0000139,2026-08-03,312.1,CARD,6900,SUCCESS
PAY0000140,INV0000140,CUST0000140,2026-08-03,312.43,CARD,7306,SUCCESS
PAY0000142,INV0000142,CUST0000142,2026-08-15,30.11,WALLET,2239,SUCCESS
PAY0000144,INV0000144,CUST0000144,2026-08-02,155.49,CARD,2334,SUCCESS
PAY0000146,INV0000146,CUST0000146,2026-08-05,100.89,CASH,7929,SUCCESS
PAY0000147,INV0000147,CUST0000147,2026-08-13,181.14,BANK_TRANSFER,4223,SUCCESS
PAY0000149,INV0000149,CUST0000149,2026-08-04,153.53,CASH,4301,SUCCESS
PAY0000150,INV0000150,CUST0000150,2026-08-16,196.27,CARD,9198,SUCCESS
PAY0000152,INV0000152,CUST0000152,2026-08-03,92.63,CASH,3002,SUCCESS
PAY0000153,INV0000153,CUST0000153,2026-08-05,87.2,CARD,8117,SUCCESS
PAY0000157,INV0000157,CUST0000157,2026-08-03,24.87,CARD,5047,SUCCESS
PAY0000158,INV0000158,CUST0000158,2026-08-03,161.08,CASH,1695,SUCCESS
PAY0000159,INV0000159,CUST0000159,2026-08-04,61.24,CASH,3236,SUCCESS
PAY0000161,INV0000161,CUST0000161,2026-08-13,350.76,BANK_TRANSFER,0378,SUCCESS
PAY0000162,INV0000162,CUST0000162,2026-08-05,11.21,WALLET,5837,SUCCESS
PAY0000163,INV0000163,CUST0000163,2026-08-05,13.41,CASH,1643,SUCCESS
PAY0000164,INV0000164,CUST0000164,2026-08-16,57.81,WALLET,5859,SUCCESS
PAY0000165,INV0000165,CUST0000165,2026-08-09,173.38,WALLET,2352,SUCCESS
PAY0000166,INV0000166,CUST0000166,2026-08-12,73.77,WALLET,4080,SUCCESS
PAY0000168,INV0000168,CUST0000168,2026-08-01,63.39,BANK_TRANSFER,2712,SUCCESS
PAY0000169,INV0000169,CUST0000169,2026-08-01,28.88,CARD,1815,SUCCESS
PAY0000170,INV0000170,CUST0000170,2026-08-08,275.37,WALLET,7305,SUCCESS
PAY0000171,INV0000171,CUST0000171,2026-08-06,95.89,BANK_TRANSFER,1437,SUCCESS
PAY0000175,INV0000175,CUST0000175,2026-08-06,54.1,BANK_TRANSFER,9428,SUCCESS
PAY0000176,INV0000176,CUST0000176,2026-08-03,298.26,BANK_TRANSFER,8938,SUCCESS
PAY0000179,INV0000179,CUST0000179,2026-08-12,54.12,CARD,1303,SUCCESS
PAY0000180,INV0000180,CUST0000180,2026-08-01,11.29,BANK_TRANSFER,6686,SUCCESS
PAY0000181,INV0000181,CUST0000181,2026-08-03,117.01,WALLET,4810,SUCCESS
PAY0000183,INV0000183,CUST0000183,2026-08-15,14.0,CARD,4442,SUCCESS
PAY0000184,INV0000184,CUST0000184,2026-08-15,148.04,CARD,2132,SUCCESS
PAY0000185,INV0000185,CUST0000185,2026-08-01,106.9,CASH,4179,SUCCESS
PAY0000187,INV0000187,CUST0000187,2026-08-10,279.34,WALLET,6376,SUCCESS
PAY0000189,INV0000189,CUST0000189,2026-08-14,28.48,BANK_TRANSFER,0571,SUCCESS
PAY0000190,INV0000190,CUST0000190,2026-08-09,98.3,CASH,6660,SUCCESS
PAY0000192,INV0000192,CUST0000192,2026-08-05,184.92,CASH,7017,SUCCESS
PAY0000195,INV0000195,CUST0000195,2026-08-05,10.94,WALLET,7926,SUCCESS
PAY0000196,INV0000196,CUST0000196,2026-08-06,177.67,CARD,0332,SUCCESS
PAY0000197,INV0000197,CUST0000197,2026-08-12,117.22,CASH,0439,SUCCESS
PAY0000200,INV0000200,CUST0000200,2026-08-09,104.71,CASH,8933,SUCCESS
PAY0000201,INV0000201,CUST0000201,2026-08-08,14.01,WALLET,3765,SUCCESS
PAY0000202,INV0000202,CUST0000202,2026-08-10,74.1,BANK_TRANSFER,2572,SUCCESS
PAY0000203,INV0000203,CUST0000203,2026-08-10,71.27,CASH,2790,SUCCESS
PAY0000204,INV0000204,CUST0000204,2026-08-02,26.25,CASH,3868,SUCCESS
PAY0000206,INV0000206,CUST0000206,2026-08-12,98.83,CARD,5299,SUCCESS
PAY0000207,INV0000207,CUST0000207,2026-08-06,74.74,CARD,8142,SUCCESS
PAY0000209,INV0000209,CUST0000209,2026-08-10,56.3,CARD,5504,SUCCESS
PAY0000210,INV0000210,CUST0000210,2026-08-08,376.92,CARD,7890,SUCCESS
PAY0000211,INV0000211,CUST0000211,2026-08-13,15.09,CARD,7412,SUCCESS
PAY0000212,INV0000212,CUST0000212,2026-08-11,195.77,WALLET,4624,SUCCESS
PAY0000213,INV0000213,CUST0000213,2026-08-02,371.77,BANK_TRANSFER,9030,SUCCESS
PAY0000214,INV0000214,CUST0000214,2026-08-12,27.06,BANK_TRANSFER,8613,SUCCESS
PAY0000216,INV0000216,CUST0000216,2026-08-01,371.56,CARD,9982,SUCCESS
PAY0000217,INV0000217,CUST0000217,2026-08-11,284.59,WALLET,2576,SUCCESS
PAY0000219,INV0000219,CUST0000219,2026-08-04,369.23,WALLET,9553,SUCCESS
PAY0000221,INV0000221,CUST0000221,2026-08-09,74.87,CASH,1563,SUCCESS
PAY0000222,INV0000222,CUST0000222,2026-08-15,366.17,WALLET,2029,SUCCESS
PAY0000223,INV0000223,CUST0000223,2026-08-15,14.91,BANK_TRANSFER,7012,SUCCESS
PAY0000224,INV0000224,CUST0000224,2026-08-12,25.6,WALLET,9327,SUCCESS
PAY0000225,INV0000225,CUST0000225,2026-08-03,273.01,CARD,6856,SUCCESS
PAY0000226,INV0000226,CUST0000226,2026-08-07,15.03,WALLET,9886,SUCCESS
PAY0000227,INV0000227,CUST0000227,2026-08-04,271.31,CARD,8563,SUCCESS
PAY0000229,INV0000229,CUST0000229,2026-08-10,25.29,CARD,5169,SUCCESS
PAY0000230,INV0000230,CUST0000230,2026-08-04,13.13,BANK_TRANSFER,7869,SUCCESS
PAY0000231,INV0000231,CUST0000231,2026-08-06,306.36,WALLET,7636,SUCCESS
PAY0000232,INV0000232,CUST0000232,2026-08-12,70.41,WALLET,9601,SUCCESS
PAY0000233,INV0000233,CUST0000233,2026-08-02,21.99,CARD,6220,SUCCESS
PAY0000234,INV0000234,CUST0000234,2026-08-01,119.7,CARD,5315,SUCCESS
PAY0000236,INV0000236,CUST0000236,2026-08-15,143.69,CASH,6861,SUCCESS
PAY0000237,INV0000237,CUST0000237,2026-08-08,54.94,CASH,3962,SUCCESS
PAY0000238,INV0000238,CUST0000238,2026-08-07,155.39,BANK_TRANSFER,1242,SUCCESS
PAY0000239,INV0000239,CUST0000239,2026-08-12,188.03,BANK_TRANSFER,6835,SUCCESS
PAY0000240,INV0000240,CUST0000240,2026-08-13,10.8,BANK_TRANSFER,1495,SUCCESS
PAY0000241,INV0000241,CUST0000241,2026-08-12,61.07,CARD,7736,SUCCESS
PAY0000244,INV0000244,CUST0000244,2026-08-09,24.06,BANK_TRANSFER,4981,SUCCESS
PAY0000245,INV0000245,CUST0000245,2026-08-05,143.82,BANK_TRANSFER,7328,SUCCESS
PAY0000249,INV0000249,CUST0000249,2026-08-08,115.38,CARD,0243,SUCCESS
PAY0000250,INV0000250,CUST0000250,2026-08-14,352.53,WALLET,4781,SUCCESS
PAY0000252,INV0000252,CUST0000252,2026-08-08,11.17,BANK_TRANSFER,9986,SUCCESS
PAY0000253,INV0000253,CUST0000253,2026-08-11,192.48,CASH,8429,SUCCESS
PAY0000255,INV0000255,CUST0000255,2026-08-11,184.74,BANK_TRANSFER,1225,SUCCESS
PAY0000257,INV0000257,CUST0000257,2026-08-08,97.16,BANK_TRANSFER,8510,SUCCESS
PAY0000259,INV0000259,CUST0000259,2026-08-12,14.61,WALLET,2371,SUCCESS
PAY0000260,INV0000260,CUST0000260,2026-08-15,150.87,CARD,5192,SUCCESS
PAY0000261,INV0000261,CUST0000261,2026-08-15,334.34,CARD,6078,SUCCESS
PAY0000263,INV0000263,CUST0000263,2026-08-06,27.76,BANK_TRANSFER,8469,SUCCESS
PAY0000264,INV0000264,CUST0000264,2026-08-06,110.59,CARD,0583,SUCCESS
PAY0000265,INV0000265,CUST0000265,2026-08-04,73.57,CASH,2247,SUCCESS
PAY0000266,INV0000266,CUST0000266,2026-08-04,270.45,CASH,8398,SUCCESS
PAY0000267,INV0000267,CUST0000267,2026-08-07,14.13,WALLET,7075,SUCCESS
PAY0000268,INV0000268,CUST0000268,2026-08-11,65.87,CASH,7110,SUCCESS
PAY0000269,INV0000269,CUST0000269,2026-08-04,375.05,CASH,4263,SUCCESS
PAY0000271,INV0000271,CUST0000271,2026-08-07,73.8,CARD,0352,SUCCESS
PAY0000272,INV0000272,CUST0000272,2026-08-05,195.37,CASH,5025,SUCCESS
PAY0000273,INV0000273,CUST0000273,2026-08-10,28.53,CARD,2387,SUCCESS
PAY0000274,INV0000274,CUST0000274,2026-08-06,280.36,CASH,4976,SUCCESS
PAY0000275,INV0000275,CUST0000275,2026-08-07,21.6,WALLET,0198,SUCCESS
PAY0000278,INV0000278,CUST0000278,2026-08-16,11.88,WALLET,1118,SUCCESS
PAY0000279,INV0000279,CUST0000279,2026-08-04,292.82,CARD,2053,SUCCESS
PAY0000281,INV0000281,CUST0000281,2026-08-01,174.21,BANK_TRANSFER,0897,SUCCESS
PAY0000282,INV0000282,CUST0000282,2026-08-02,337.74,BANK_TRANSFER,1476,SUCCESS
PAY0000284,INV0000284,CUST0000284,2026-08-15,23.48,CASH,7399,SUCCESS
PAY0000285,INV0000285,CUST0000285,2026-08-04,72.36,BANK_TRANSFER,6887,SUCCESS
PAY0000286,INV0000286,CUST0000286,2026-08-05,69.49,CARD,0240,SUCCESS
PAY0000287,INV0000287,CUST0000287,2026-08-09,97.98,CASH,6948,SUCCESS
PAY0000290,INV0000290,CUST0000290,2026-08-15,29.67,WALLET,1420,SUCCESS
PAY0000291,INV0000291,CUST0000291,2026-08-08,117.6,BANK_TRANSFER,8476,SUCCESS
PAY0000292,INV0000292,CUST0000292,2026-08-03,13.74,CASH,3372,SUCCESS
PAY0000293,INV0000293,CUST0000293,2026-08-03,365.4,CASH,4175,SUCCESS
PAY0000294,INV0000294,CUST0000294,2026-08-06,62.15,BANK_TRANSFER,0052,SUCCESS
PAY0000295,INV0000295,CUST0000295,2026-08-08,14.86,WALLET,3488,SUCCESS
PAY0000296,INV0000296,CUST0000296,2026-08-05,13.47,CARD,8008,SUCCESS
PAY0000297,INV0000297,CUST0000297,2026-08-01,29.7,CARD,1836,SUCCESS
