invoice_id,customer_id,billing_period,plan_id,usage_charges,tax_amount,total_amount,invoice_date,due_date,invoice_status
INV0000047,CUST0000047,2026-08,PLN005,30.12,12.81,172.92,2026-08-01,2026-08-22,PAID
INV0000048,CUST0000048,2026-08,PLN004,0.25,6.42,86.66,2026-08-01,2026-08-22,PAID
INV0000049,CUST0000049,2026-08,PLN003,10.6,4.85,65.44,2026-08-01,2026-08-22,PAID
INV0000050,CUST0000050,2026-08,PLN003,18.41,5.47,73.87,2026-08-01,2026-08-22,OVERDUE
INV0000051,CUST0000051,2026-08,PLN006,86.51,26.92,363.42,2026-08-01,2026-08-22,OPEN
INV0000052,CUST0000052,2026-08,PLN006,86.15,26.89,363.03,2026-08-01,2026-08-22,PAID
INV0000053,CUST0000053,2026-08,PLN004,1.6,6.53,88.12,2026-08-01,2026-08-22,OPEN
INV0000054,CUST0000054,2026-08,PLN003,3.24,4.26,57.49,2026-08-01,2026-08-22,OPEN
INV0000055,CUST0000055,2026-08,PLN003,6.29,4.5,60.78,2026-08-01,2026-08-22,OPEN
INV0000056,CUST0000056,2026-08,PLN004,24.2,8.34,112.53,2026-08-01,2026-08-22,PAID
INV0000057,CUST0000057,2026-08,PLN003,15.36,5.23,70.58,2026-08-01,2026-08-22,OVERDUE
INV0000058,CUST0000058,2026-08,PLN002,6.25,2.1,28.34,2026-08-01,2026-08-22,OPEN
INV0000059,CUST0000059,2026-08,PLN001,1.7,0.94,12.63,2026-08-01,2026-08-22,PAID
INV0000060,CUST0000060,2026-08,PLN004,28.02,8.64,116.65,2026-08-01,2026-08-22,OPEN
INV0000061,CUST0000061,2026-08,PLN006,18.43,21.47,289.89,2026-08-01,2026-08-22,PAID
INV0000062,CUST0000062,2026-08,PLN001,1.58,0.93,12.5,2026-08-01,2026-08-22,PAID
INV0000063,CUST0000063,2026-08,PLN001,0.04,0.8,10.83,2026-08-01,2026-08-22,OVERDUE
INV0000064,CUST0000064,2026-08,PLN004,5.13,6.81,91.93,2026-08-01,2026-08-22,PAID
INV0000065,CUST0000065,2026-08,PLN003,3.62,4.29,57.9,2026-08-01,2026-08-22,OPEN
INV0000066,CUST0000066,2026-08,PLN004,13.7,7.5,101.19,2026-08-01,2026-08-22,OPEN
INV0000067,CUST0000067,2026-08,PLN006,65.66,25.25,340.9,2026-08-01,2026-08-22,PAID
INV0000068,CUST0000068,2026-08,PLN005,3.5,10.68,144.17,2026-08-01,2026-08-22,PAID
INV0000069,CUST0000069,2026-08,PLN003,14.18,5.13,69.3,2026-08-01,2026-08-22,PAID
INV0000070,CUST0000070,2026-08,PLN005,41.43,13.71,185.13,2026-08-01,2026-08-22,PAID
INV0000071,CUST0000071,2026-08,PLN005,0.78,10.46,141.23,2026-08-01,2026-08-22,PAID
INV0000072,CUST0000072,2026-08,PLN006,49.45,23.96,323.4,2026-08-01,2026-08-22,PAID
INV0000073,CUST0000073,2026-08,PLN002,4.62,1.97,26.58,2026-08-01,2026-08-22,OPEN
INV0000074,CUST0000074,2026-08,PLN003,8.88,4.71,63.58,2026-08-01,2026-08-22,OPEN
INV0000075,CUST0000075,2026-08,PLN001,3.72,1.1,14.81,2026-08-01,2026-08-22,PAID
INV0000076,CUST0000076,2026-08,PLN003,17.05,5.36,72.4,2026-08-01,2026-08-22,PAID
INV0000077,CUST0000077,2026-08,PLN002,5.84,2.07,27.9,2026-08-01,2026-08-22,OVERDUE
INV0000078,CUST0000078,2026-08,PLN001,0.81,0.86,11.66,2026-08-01,2026-08-22,PAID
INV0000079,CUST0000079,2026-08,PLN002,3.44,1.87,25.3,2026-08-01,2026-08-22,PAID
INV0000080,CUST0000080,2026-08,PLN004,17.73,7.82,105.54,2026-08-01,2026-08-22,OVERDUE
INV0000081,CUST0000081,2026-08,PLN006,16.88,21.35,288.22,2026-08-01,2026-08-22,OVERDUE
INV0000082,CUST0000082,2026-08,PLN005,9.09,11.13,150.21,2026-08-01,2026-08-22,PAID
INV0000083,CUST0000083,2026-08,PLN003,7.24,4.58,61.81,2026-08-01,2026-08-22,OPEN
INV0000084,CUST0000084,2026-08,PLN003,0.94,4.07,55.0,2026-08-01,2026-08-22,PAID
INV0000085,CUST0000085,2026-08,PLN003,13.05,5.04,68.08,2026-08-01,2026-08-22,PAID
INV0000086,CUST0000086,2026-08,PLN006,14.56,21.16,285.71,2026-08-01,2026-08-22,PAID
INV0000087,CUST0000087,2026-08,PLN002,7.55,2.2,29.74,2026-08-01,2026-08-22,PAID
INV0000088,CUST0000088,2026-08,PLN005,31.97,12.96,174.92,2026-08-01,2026-08-22,OPEN
INV0000089,CUST0000089,2026-08,PLN004,21.83,8.15,109.97,2026-08-01,2026-08-22,PAID
INV0000090,CUST0000090,2026-08,PLN004,28.83,8.71,117.53,2026-08-01,2026-08-22,PAID
INV0000091,CUST0000091,2026-08,PLN006,29.35,22.35,301.69,2026-08-01,2026-08-22,PAID
INV0000092,CUST0000092,2026-08,PLN002,0.25,1.62,21.86,2026-08-01,2026-08-22,OPEN
INV0000093,CUST0000093,2026-08,PLN005,28.02,12.64,170.65,2026-08-01,2026-08-22,PAID
INV0000094,CUST0000094,2026-08,PLN003,14.28,5.14,69.41,2026-08-01,2026-08-22,PAID
INV0000095,CUST0000095,2026-08,PLN005,40.77,13.66,184.42,2026-08-01,2026-08-22,OVERDUE
INV0000096,CUST0000096,2026-08,PLN001,1.02,0.88,11.89,2026-08-01,2026-08-22,OPEN
INV0000097,CUST0000097,2026-08,PLN002,0.27,1.62,21.88,2026-08-01,2026-08-22,PAID
INV0000098,CUST0000098,2026-08,PLN006,54.53,24.36,328.88,2026-08-01,2026-08-22,OPEN
INV0000099,CUST0000099,2026-08,PLN003,12.48,5.0,67.47,2026-08-01,2026-08-22,PAID
INV0000100,CUST0000100,2026-08,PLN001,0.14,0.81,10.94,2026-08-01,2026-08-22,OVERDUE
INV0000101,CUST0000101,2026-08,PLN006,78.78,26.3,355.07,2026-08-01,2026-08-22,OPEN
INV0000102,CUST0000102,2026-08,PLN005,3.59,10.69,144.27,2026-08-01,2026-08-22,OPEN
INV0000103,CUST0000103,2026-08,PLN004,15.17,7.61,102.77,2026-08-01,2026-08-22,PAID
INV0000104,CUST0000104,2026-08,PLN003,19.77,5.58,75.34,2026-08-01,2026-08-22,PAID
INV0000105,CUST0000105,2026-08,PLN003,5.24,4.42,59.65,2026-08-01,2026-08-22,PAID
INV0000106,CUST0000106,2026-08,PLN006,6.6,20.53,277.12,2026-08-01,2026-08-22,PAID
INV0000107,CUST0000107,2026-08,PLN006,78.42,26.27,354.68,2026-08-01,2026-08-22,PAID
INV0000108,CUST0000108,2026-08,PLN006,59.57,24.76,334.32,2026-08-01,2026-08-22,PAID
INV0000109,CUST0000109,2026-08,PLN005,38.23,13.46,181.68,2026-08-01,2026-08-22,OPEN
INV0000110,CUST0000110,2026-08,PLN005,30.12,12.81,172.92,2026-08-01,2026-08-22,OVERDUE
INV0000111,CUST0000111,2026-08,PLN005,26.75,12.54,169.28,2026-08-01,2026-08-22,PAID
INV0000112,CUST0000112,2026-08,PLN003,9.62,4.77,64.38,2026-08-01,2026-08-22,OPEN
INV0000113,CUST0000113,2026-08,PLN004,3.35,6.67,90.01,2026-08-01,2026-08-22,OPEN
INV0000114,CUST0000114,2026-08,PLN006,13.75,21.1,284.84,2026-08-01,2026-08-22,PAID
INV0000115,CUST0000115,2026-08,PLN006,98.65,27.89,376.53,2026-08-01,2026-08-22,PAID
INV0000116,CUST0000116,2026-08,PLN002,2.14,1.77,23.9,2026-08-01,2026-08-22,OVERDUE
INV0000117,CUST0000117,2026-08,PLN005,33.73,13.1,176.82,2026-08-01,2026-08-22,PAID
INV0000118,CUST0000118,2026-08,PLN002,4.54,1.96,26.49,2026-08-01,2026-08-22,PAID
INV0000119,CUST0000119,2026-08,PLN001,1.57,0.92,12.48,2026-08-01,2026-08-22,OPEN
INV0000120,CUST0000120,2026-08,PLN005,10.92,11.27,152.18,2026-08-01,2026-08-22,PAID
INV0000121,CUST0000121,2026-08,PLN002,1.17,1.69,22.85,2026-08-01,2026-08-22,PAID
INV0000122,CUST0000122,2026-08,PLN002,1.84,1.75,23.58,2026-08-01,2026-08-22,OPEN
INV0000123,CUST0000123,2026-08,PLN001,0.25,0.82,11.06,2026-08-01,2026-08-22,PAID
INV0000124,CUST0000124,2026-08,PLN004,3.67,6.69,90.35,2026-08-01,2026-08-22,OVERDUE
INV0000125,CUST0000125,2026-08,PLN005,43.74,13.9,187.63,2026-08-01,2026-08-22,PAID
INV0000126,CUST0000126,2026-08,PLN001,0.04,0.8,10.83,2026-08-01,2026-08-22,PAID
INV0000127,CUST0000127,2026-08,PLN003,7.67,4.61,62.27,2026-08-01,2026-08-22,PAID
INV0000128,CUST0000128,2026-08,PLN005,15.05,11.6,156.64,2026-08-01,2026-08-22,PAID
INV0000129,CUST0000129,2026-08,PLN005,26.54,12.52,169.05,2026-08-01,2026-08-22,PAID
INV0000130,CUST0000130,2026-08,PLN004,25.05,8.4,113.44,2026-08-01,2026-08-22,OPEN
INV0000131,CUST0000131,2026-08,PLN005,33.36,13.07,176.42,2026-08-01,2026-08-22,PAID
INV0000132,CUST0000132,2026-08,PLN005,16.45,11.72,158.16,2026-08-01,2026-08-22,PAID
INV0000133,CUST0000133,2026-08,PLN001,0.79,0.86,11.64,2026-08-01,2026-08-22,OPEN
INV0000134,CUST0000134,2026-08,PLN001,1.83,0.95,12.77,2026-08-01,2026-08-22,OPEN
INV0000135,CUST0000135,2026-08,PLN002,0.03,1.6,21.62,2026-08-01,2026-08-22,OPEN
INV0000136,CUST0000136,2026-08,PLN003,18.87,5.51,74.37,2026-08-01,2026-08-22,OVERDUE
INV0000137,CUST0000137,2026-08,PLN005,19.72,11.98,161.69,2026-08-01,2026-08-22,OPEN
INV0000138,CUST0000138,2026-08,PLN003,0.39,4.03,54.41,2026-08-01,2026-08-22,PAID
INV0000139,CUST0000139,2026-08,PLN006,38.99,23.12,312.1,2026-08-01,2026-08-22,PAID
INV0000140,CUST0000140,2026-08,PLN006,39.3,23.14,312.43,2026-08-01,2026-08-22,PAID
INV0000141,CUST0000141,2026-08,PLN006,84.07,26.72,360.78,2026-08-01,2026-08-22,OVERDUE
INV0000142,CUST0000142,2026-08,PLN002,7.89,2.23,30.11,2026-08-01,2026-08-22,PAID
INV0000143,CUST0000143,2026-08,PLN001,1.59,0.93,12.51,2026-08-01,2026-08-22,OPEN
INV0000144,CUST0000144,2026-08,PLN005,13.98,11.52,155.49,2026-08-01,2026-08-22,PAID
INV0000145,CUST0000145,2026-08,PLN003,15.46,5.24,70.69,2026-08-01,2026-08-22,OPEN
INV0000146,CUST0000146,2026-08,PLN004,13.43,7.47,100.89,2026-08-01,2026-08-22,PAID
INV0000147,CUST0000147,2026-08,PLN005,37.73,13.42,181.14,2026-08-01,2026-08-22,PAID
INV0000148,CUST0000148,2026-08,PLN004,19.42,7.95,107.36,2026-08-01,2026-08-22,OPEN
INV0000149,CUST0000149,2026-08,PLN005,12.17,11.37,153.53,2026-08-01,2026-08-22,PAID
INV0000150,CUST0000150,2026-08,PLN005,51.74,14.54,196.27,2026-08-01,2026-08-22,PAID
INV0000151,CUST0000151,2026-08,PLN003,0.61,4.05,54.65,2026-08-01,2026-08-22,OPEN
INV0000152,CUST0000152,2026-08,PLN004,5.78,6.86,92.63,2026-08-01,2026-08-22,PAID
INV0000153,CUST0000153,2026-08,PLN004,0.75,6.46,87.2,2026-08-01,2026-08-22,PAID
INV0000154,CUST0000154,2026-08,PLN001,0.53,0.84,11.36,2026-08-01,2026-08-22,OPEN
INV0000155,CUST0000155,2026-08,PLN003,9.09,4.73,63.81,2026-08-01,2026-08-22,OVERDUE
INV0000156,CUST0000156,2026-08,PLN005,30.02,12.8,172.81,2026-08-01,2026-08-22,OPEN
INV0000157,CUST0000157,2026-08,PLN002,3.04,1.84,24.87,2026-08-01,2026-08-22,PAID
INV0000158,CUST0000158,2026-08,PLN005,19.16,11.93,161.08,2026-08-01,2026-08-22,PAID
INV0000159,CUST0000159,2026-08,PLN003,6.71,4.54,61.24,2026-08-01,2026-08-22,PAID
INV0000160,CUST0000160,2026-08,PLN004,14.62,7.57,102.18,2026-08-01,2026-08-22,OPEN
INV0000161,CUST0000161,2026-08,PLN006,74.79,25.98,350.76,2026-08-01,2026-08-22,PAID
INV0000162,CUST0000162,2026-08,PLN001,0.39,0.83,11.21,2026-08-01,2026-08-22,PAID
INV0000163,CUST0000163,2026-08,PLN001,2.43,0.99,13.41,2026-08-01,2026-08-22,PAID
INV0000164,CUST0000164,2026-08,PLN003,3.54,4.28,57.81,2026-08-01,2026-08-22,PAID
INV0000165,CUST0000165,2026-08,PLN005,30.55,12.84,173.38,2026-08-01,2026-08-22,PAID
INV0000166,CUST0000166,2026-08,PLN003,18.32,5.46,73.77,2026-08-01,2026-08-22,PAID
INV0000167,CUST0000167,2026-08,PLN003,9.72,4.78,64.49,2026-08-01,2026-08-22,OPEN
INV0000168,CUST0000168,2026-08,PLN003,8.7,4.7,63.39,2026-08-01,2026-08-22,PAID
INV0000169,CUST0000169,2026-08,PLN002,6.75,2.14,28.88,2026-08-01,2026-08-22,PAID
INV0000170,CUST0000170,2026-08,PLN006,4.98,20.4,275.37,2026-08-01,2026-08-22,PAID
INV0000171,CUST0000171,2026-08,PLN004,8.8,7.1,95.89,2026-08-01,2026-08-22,PAID
INV0000172,CUST0000172,2026-08,PLN002,2.23,1.78,24.0,2026-08-01,2026-08-22,OPEN
INV0000173,CUST0000173,2026-08,PLN002,4.02,1.92,25.93,2026-08-01,2026-08-22,OVERDUE
INV0000174,CUST0000174,2026-08,PLN005,17.06,11.76,158.81,2026-08-01,2026-08-22,OPEN
INV0000175,CUST0000175,2026-08,PLN003,0.1,4.01,54.1,2026-08-01,2026-08-22,PAID
INV0000176,CUST0000176,2026-08,PLN006,26.18,22.09,298.26,2026-08-01,2026-08-22,PAID
INV0000177,CUST0000177,2026-08,PLN004,2.32,6.58,88.89,2026-08-01,2026-08-22,OVERDUE
INV0000178,CUST0000178,2026-08,PLN005,48.05,14.24,192.28,2026-08-01,2026-08-22,OPEN
INV0000179,CUST0000179,2026-08,PLN003,0.12,4.01,54.12,2026-08-01,2026-08-22,PAID
INV0000180,CUST0000180,2026-08,PLN001,0.46,0.84,11.29,2026-08-01,2026-08-22,PAID
INV0000181,CUST0000181,2026-08,PLN004,28.35,8.67,117.01,2026-08-01,2026-08-22,PAID
INV0000182,CUST0000182,2026-08,PLN002,3.42,1.87,25.28,2026-08-01,2026-08-22,OPEN
INV0000183,CUST0000183,2026-08,PLN001,2.97,1.04,14.0,2026-08-01,2026-08-22,PAID
INV0000184,CUST0000184,2026-08,PLN005,7.08,10.97,148.04,2026-08-01,2026-08-22,PAID
INV0000185,CUST0000185,2026-08,PLN004,18.99,7.92,106.9,2026-08-01,2026-08-22,PAID
INV0000186,CUST0000186,2026-08,PLN003,18.12,5.45,73.56,2026-08-01,2026-08-22,OPEN
INV0000187,CUST0000187,2026-08,PLN006,8.66,20.69,279.34,2026-08-01,2026-08-22,PAID
INV0000188,CUST0000188,2026-08,PLN006,29.3,22.34,301.63,2026-08-01,2026-08-22,OPEN
INV0000189,CUST0000189,2026-08,PLN002,6.38,2.11,28.48,2026-08-01,2026-08-22,PAID
INV0000190,CUST0000190,2026-08,PLN004,11.03,7.28,98.3,2026-08-01,2026-08-22,PAID
INV0000191,CUST0000191,2026-08,PLN001,1.65,0.93,12.57,2026-08-01,2026-08-22,OPEN
INV0000192,CUST0000192,2026-08,PLN005,41.23,13.7,184.92,2026-08-01,2026-08-22,PAID
INV0000193,CUST0000193,2026-08,PLN002,6.43,2.11,28.53,2026-08-01,2026-08-22,OPEN
INV0000194,CUST0000194,2026-08,PLN001,0.85,0.87,11.71,2026-08-01,2026-08-22,OPEN
INV0000195,CUST0000195,2026-08,PLN001,0.14,0.81,10.94,2026-08-01,2026-08-22,PAID
INV0000196,CUST0000196,2026-08,PLN005,34.52,13.16,177.67,2026-08-01,2026-08-22,PAID
INV0000197,CUST0000197,2026-08,PLN004,28.55,8.68,117.22,2026-08-01,2026-08-22,PAID
INV0000198,CUST0000198,2026-08,PLN003,10.48,4.84,65.31,2026-08-01,2026-08-22,OPEN
INV0000199,CUST0000199,2026-08,PLN002,2.7,1.82,24.51,2026-08-01,2026-08-22,OVERDUE
INV0000200,CUST0000200,2026-08,PLN004,16.96,7.76,104.71,2026-08-01,2026-08-22,PAID
INV0000201,CUST0000201,2026-08,PLN001,2.98,1.04,14.01,2026-08-01,2026-08-22,PAID
INV0000202,CUST0000202,2026-08,PLN003,18.62,5.49,74.1,2026-08-01,2026-08-22,PAID
INV0000203,CUST0000203,2026-08,PLN003,16.0,5.28,71.27,2026-08-01,2026-08-22,PAID
INV0000204,CUST0000204,2026-08,PLN002,4.32,1.94,26.25,2026-08-01,2026-08-22,PAID
INV0000205,CUST0000205,2026-08,PLN004,29.66,8.77,118.42,2026-08-01,2026-08-22,OPEN
INV0000206,CUST0000206,2026-08,PLN004,11.52,7.32,98.83,2026-08-01,2026-08-22,PAID
INV0000207,CUST0000207,2026-08,PLN003,19.21,5.54,74.74,2026-08-01,2026-08-22,PAID
INV0000208,CUST0000208,2026-08,PLN005,1.77,10.54,142.3,2026-08-01,2026-08-22,OVERDUE
INV0000209,CUST0000209,2026-08,PLN003,2.14,4.17,56.3,2026-08-01,2026-08-22,PAID
INV0000210,CUST0000210,2026-08,PLN006,99.01,27.92,376.92,2026-08-01,2026-08-22,PAID
INV0000211,CUST0000211,2026-08,PLN001,3.98,1.12,15.09,2026-08-01,2026-08-22,PAID
INV0000212,CUST0000212,2026-08,PLN005,51.28,14.5,195.77,2026-08-01,2026-08-22,PAID
INV0000213,CUST0000213,2026-08,PLN006,94.24,27.54,371.77,2026-08-01,2026-08-22,PAID
INV0000214,CUST0000214,2026-08,PLN002,5.07,2.0,27.06,2026-08-01,2026-08-22,PAID
INV0000215,CUST0000215,2026-08,PLN003,16.35,5.31,71.65,2026-08-01,2026-08-22,OVERDUE
INV0000216,CUST0000216,2026-08,PLN006,94.05,27.52,371.56,2026-08-01,2026-08-22,PAID
INV0000217,CUST0000217,2026-08,PLN006,13.52,21.08,284.59,2026-08-01,2026-08-22,PAID
INV0000218,CUST0000218,2026-08,PLN001,0.04,0.8,10.83,2026-08-01,2026-08-22,OPEN
INV0000219,CUST0000219,2026-08,PLN006,91.89,27.35,369.23,2026-08-01,2026-08-22,PAID
INV0000220,CUST0000220,2026-08,PLN002,6.9,2.15,29.04,2026-08-01,2026-08-22,OVERDUE
INV0000221,CUST0000221,2026-08,PLN003,19.33,5.55,74.87,2026-08-01,2026-08-22,PAID
INV0000222,CUST0000222,2026-08,PLN006,89.06,27.12,366.17,2026-08-01,2026-08-22,PAID
INV0000223,CUST0000223,2026-08,PLN001,3.82,1.1,14.91,2026-08-01,2026-08-22,PAID
INV0000224,CUST0000224,2026-08,PLN002,3.71,1.9,25.6,2026-08-01,2026-08-22,PAID
INV0000225,CUST0000225,2026-08,PLN006,2.8,20.22,273.01,2026-08-01,2026-08-22,PAID
INV0000226,CUST0000226,2026-08,PLN001,3.93,1.11,15.03,2026-08-01,2026-08-22,PAID
INV0000227,CUST0000227,2026-08,PLN006,1.22,20.1,271.31,2026-08-01,2026-08-22,PAID
INV0000228,CUST0000228,2026-08,PLN003,6.96,4.56,61.51,2026-08-01,2026-08-22,OVERDUE
INV0000229,CUST0000229,2026-08,PLN002,3.43,1.87,25.29,2026-08-01,2026-08-22,PAID
INV0000230,CUST0000230,2026-08,PLN001,2.17,0.97,13.13,2026-08-01,2026-08-22,PAID
INV0000231,CUST0000231,2026-08,PLN006,33.68,22.69,306.36,2026-08-01,2026-08-22,PAID
INV0000232,CUST0000232,2026-08,PLN003,15.2,5.22,70.41,2026-08-01,2026-08-22,PAID
INV0000233,CUST0000233,2026-08,PLN002,0.37,1.63,21.99,2026-08-01,2026-08-22,PAID
INV0000234,CUST0000234,2026-08,PLN004,30.84,8.87,119.7,2026-08-01,2026-08-22,PAID
INV0000235,CUST0000235,2026-08,PLN004,18.28,7.86,106.13,2026-08-01,2026-08-22,OVERDUE
INV0000236,CUST0000236,2026-08,PLN005,3.06,10.64,143.69,2026-08-01,2026-08-22,PAID
INV0000237,CUST0000237,2026-08,PLN003,0.88,4.07,54.94,2026-08-01,2026-08-22,PAID
INV0000238,CUST0000238,2026-08,PLN005,13.89,11.51,155.39,2026-08-01,2026-08-22,PAID
INV0000239,CUST0000239,2026-08,PLN005,44.11,13.93,188.03,2026-08-01,2026-08-22,PAID
INV0000240,CUST0000240,2026-08,PLN001,0.01,0.8,10.8,2026-08-01,2026-08-22,PAID
INV0000241,CUST0000241,2026-08,PLN003,6.56,4.52,61.07,2026-08-01,2026-08-22,PAID
INV0000242,CUST0000242,2026-08,PLN001,1.97,0.96,12.92,2026-08-01,2026-08-22,OVERDUE
INV0000243,CUST0000243,2026-08,PLN003,5.1,4.41,59.5,2026-08-01,2026-08-22,OPEN
INV0000244,CUST0000244,2026-08,PLN002,2.29,1.78,24.06,2026-08-01,2026-08-22,PAID
INV0000245,CUST0000245,2026-08,PLN005,3.18,10.65,143.82,2026-08-01,2026-08-22,PAID
INV0000246,CUST0000246,2026-08,PLN002,2.46,1.8,24.25,2026-08-01,2026-08-22,OPEN
INV0000247,CUST0000247,2026-08,PLN001,0.06,0.8,10.85,2026-08-01,2026-08-22,OPEN
INV0000248,CUST0000248,2026-08,PLN005,2.07,10.56,142.62,2026-08-01,2026-08-22,OPEN
INV0000249,CUST0000249,2026-08,PLN004,26.84,8.55,115.38,2026-08-01,2026-08-22,PAID
INV0000250,CUST0000250,2026-08,PLN006,76.43,26.11,352.53,2026-08-01,2026-08-22,PAID
INV0000251,CUST0000251,2026-08,PLN002,0.11,1.61,21.71,2026-08-01,2026-08-22,OPEN
INV0000252,CUST0000252,2026-08,PLN001,0.35,0.83,11.17,2026-08-01,2026-08-22,PAID
INV0000253,CUST0000253,2026-08,PLN005,48.23,14.26,192.48,2026-08-01,2026-08-22,PAID
INV0000254,CUST0000254,2026-08,PLN003,15.08,5.21,70.28,2026-08-01,2026-08-22,OVERDUE
INV0000255,CUST0000255,2026-08,PLN005,41.07,13.68,184.74,2026-08-01,2026-08-22,PAID
INV0000256,CUST0000256,2026-08,PLN001,0.68,0.85,11.52,2026-08-01,2026-08-22,OPEN
INV0000257,CUST0000257,2026-08,PLN004,9.97,7.2,97.16,2026-08-01,2026-08-22,PAID
INV0000258,CUST0000258,2026-08,PLN004,21.47,8.12,109.58,2026-08-01,2026-08-22,OPEN
INV0000259,CUST0000259,2026-08,PLN001,3.54,1.08,14.61,2026-08-01,2026-08-22,PAID
